"MES","TIPO DE CONSULTA","Facebook inbox","Facebook muro","Instagram inbox","Instagram muro","Tik Tok","Twitter inbox","Twitter Muro","Youtube","TOTAL"
"ENERO","AUTENTICACIONES0DE0FIRMAS/ACTAS","40","30","2","1","0","2","0","0","75"
"ENERO","BONO","10","4","0","0","0","0","0","0","14"
"ENERO","CAIDA AGA (SISTEMA)","3","0","1","0","0","0","0","0","4"
"ENERO","CAMBIO DE DNI AMA A ZUL","286","161","34","11","0","0","0","0","492"
"ENERO","CONSULTA ELECCIONES/PADRÓN/MULTAS/DISPENSAS","17","9","3","0","0","0","0","0","29"
"ENERO","COPIA DE ACTAS","683","277","71","9","0","48","6","0","1094"
"ENERO","DEMORA DE ENTREGA DEL DNI","0","0","0","0","0","0","0","0","0"
"ENERO","DESBLOQUEO PIN DNIE","1","0","0","0","0","0","0","0","1"
"ENERO","DEVOLUCION/VALIDEZ DE PAGO","354","121","62","16","0","8","2","0","563"
"ENERO","DISCAPACIDAD DNI AMARILLO","2","0","0","0","0","0","0","0","2"
"ENERO","DISCAPACIDAD DNI AZUL","15","2","0","0","0","0","0","0","17"
"ENERO","DISCAPACIDAD DNIE","3","0","0","0","0","1","0","0","4"
"ENERO","DUPLICADO DNI AMARILLO","140","99","17","2","0","0","0","0","258"
"ENERO","DUPLICADO DNI AZUL","269","75","28","3","0","4","1","0","380"
"ENERO","DUPLICADO DNIE","17","8","4","0","0","0","0","0","29"
"ENERO","EMISION CERTIFICADO DIGITAL/ENTIDADES PUBLICAS","6","0","0","0","0","2","0","0","8"
"ENERO","EMISION PRIMERA VEZ DNI AMARILLO","236","115","47","9","0","1","0","0","408"
"ENERO","EMISION PRIMERA VEZ DNIE","344","148","45","20","0","5","0","0","562"
"ENERO","ENVIVO FB","0","0","0","0","0","0","0","0","0"
"ENERO","EXTEMPORANEOS DNI AMARILLO","1","1","1","0","0","0","0","0","3"
"ENERO","EXTEMPORANEOS DNIE","0","0","1","0","0","0","0","0","1"
"ENERO","EXTEMPORANEOS/INDOCUMENTADOS DNI AZUL","30","27","7","2","0","2","1","0","69"
"ENERO","FECHA DE EMISIÓN / DÍGITO VERIFICADOR / OTROS DATOS DEL DNI","329","50","6","0","0","4","1","0","390"
"ENERO","HABILITACIONES","2","1","0","0","0","0","0","0","3"
"ENERO","HORARIO /AGENCIAS","1432","641","593","71","0","89","5","0","2831"
"ENERO","IMPUGNACIONES","7","1","0","2","0","0","0","0","10"
"ENERO","INCIDENCIA GOR","1","51","0","0","0","2","3","0","57"
"ENERO","INSCRIPCION /C4-C5- NOMBRES IGUALS / NEG SOLTERIA","428","119","10","3","0","15","0","0","575"
"ENERO","INSCRIPCION DE CERTIFICADO DE DEFUNCIÓN","18","3","1","0","0","2","1","0","25"
"ENERO","INSCRIPCION DE NACIMIENTO","281","97","56","3","0","5","3","0","445"
"ENERO","LIBERACION DE PAGO","2","0","1","0","0","1","0","0","4"
"ENERO","LIBERACION DE TRÁMITE","0","0","0","0","0","0","0","0","0"
"ENERO","MESA DE PARTES - INCONVENIENTES/DEMORA","45","13","3","0","0","17","5","0","83"
"ENERO","MESA DE PARTES - ORIENTACION TRÁMITES","45","27","17","1","0","13","0","0","103"
"ENERO","OTRAS INCIDENCIAS","514","226","217","141","0","14","3","0","1115"
"ENERO","PAGO NO REFLEJADO EN BASE DE DATOS","29","0","5","0","0","1","0","0","35"
"ENERO","PASARELA VISA","0","1","1","0","0","0","0","0","2"
"ENERO","PROBLEMAS - REGISTRO DIGITAL NACIMIENTO","0","0","0","0","0","2","0","0","2"
"ENERO","PROBLEMAS - RENOVACION DNI WEB","26","8","0","0","0","11","4","0","49"
"ENERO","PROBLEMAS - SISTEMA OPERATIVO IOS","0","0","0","0","0","0","0","0","0"
"ENERO","PROBLEMAS DNI BIOFACIAL","57","43","6","0","0","1","0","0","107"
"ENERO","PROBLEMAS EN USAR LA APLICACIÓN","46","40","31","14","0","1","0","0","132"
"ENERO","RECOJO DNI","1313","583","175","52","0","77","12","0","2212"
